,time,survival,lower,upper,Name
74,140.0,0.04623865834390045,0.01716892756300316,0.09785478805009906,RB Kanhai
75,151.0,0.0385322152865837,0.012637501807952948,0.08757068652702793,RB Kanhai
76,154.0,0.03082577222926696,0.008468050804372771,0.0769961436621509,RB Kanhai
77,158.0,0.023119329171950226,0.004797088744666718,0.0660383123544458,RB Kanhai
78,159.0,0.023119329171950226,0.0033588030289634714,0.0660383123544458,RB Kanhai
79,218.0,0.011559664585975113,0.0003837034085859085,0.052012730526526885,RB Kanhai
80,257.0,0.0,0.0,0.035268563043957916,RB Kanhai
0,0.0,1.0,0.9752178295104192,1.0,M Azharuddin
1,1.0,0.9659863945578232,0.9224106648681352,0.9888653200229728,M Azharuddin
2,2.0,0.9387755102040816,0.8869598235938141,0.9716248968797492,M Azharuddin
3,3.0,0.91156462585034,0.8535207948425011,0.9520690464748636,M Azharuddin
4,4.0,0.9047619047619048,0.8453702447008435,0.9469487778937618,M Azharuddin
5,5.0,0.8775510204081632,0.8133955310749954,0.9257885636732768,M Azharuddin
6,6.0,0.8435374149659864,0.7745359177458703,0.8981557277606523,M Azharuddin
7,7.0,0.8299319727891157,0.7592667114947431,0.8868134247226117,M Azharuddin
8,8.0,0.8027210884353742,0.7291205844063886,0.8637195379443474,M Azharuddin
9,9.0,0.7891156462585034,0.7142230173517615,0.8519904361130527,M Azharuddin
10,10.0,0.7551020408163265,0.6774282708061243,0.8222041497154072,M Azharuddin
11,11.0,0.7414965986394557,0.6628742446608556,0.8101211936028336,M Azharuddin
12,12.0,0.7210884353741496,0.6412037350111299,0.7918323882211529,M Azharuddin
13,13.0,0.7074829931972788,0.6268580839253407,0.7795363126621275,M Azharuddin
14,14.0,0.6938775510204079,0.6125896285467407,0.7671615477982582,M Azharuddin
15,15.0,0.6734693877551019,0.5913255131825493,0.7484584274904995,M Azharuddin
16,16.0,0.6530612244897958,0.5702204885723784,0.7295937887612138,M Azharuddin
