,Name,time,hazard,removed,observed,censored,entrance,at_risk,Smooth Haz,Smooth2 Haz
85,Tamim Iqbal,,0.07692307692307693,1.0,1.0,0.0,0.0,13.0,0.02667935779390887,0.03101452245815749
86,Tamim Iqbal,,0.08333333333333333,1.0,1.0,0.0,0.0,12.0,0.02667935779390887,0.03035212121071648
87,Tamim Iqbal,,0.09090909090909091,1.0,1.0,0.0,0.0,11.0,0.031942515688645715,0.029574299834004922
88,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.031942515688645715,0.028292826984112812
89,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025750565224249428,0.027131792529981272
90,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025750565224249428,0.02597075807584973
91,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025750565224249428,0.02533136264751234
92,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025750565224249428,0.025747236972505645
93,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.022241793294424866,0.026301615452623595
94,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.018482394798184264,0.026855993932741552
95,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.020281765018607116,0.027701960107858782
96,Tamim Iqbal,,0.1,1.0,1.0,0.0,0.0,10.0,0.02247474747474747,0.028547926282976012
97,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.01769005847953216,0.028839875837594627
98,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.01769005847953216,0.029131825392213238
99,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.01769005847953216,0.029749667076536916
100,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.02520885547201336,0.030367508760860595
101,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.04275271512113617,0.030985350445184273
102,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.04275271512113617,0.031603192129507955
103,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.04275271512113617,0.032405706020664504
104,Tamim Iqbal,,0.1111111111111111,1.0,1.0,0.0,0.0,9.0,0.04275271512113617,0.03340608299057056
105,Tamim Iqbal,,0.125,1.0,1.0,0.0,0.0,8.0,0.04275271512113617,0.03400396925327677
106,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.03748955722639933,0.0341401749989008
107,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.03748955722639933,0.034528206481115105
108,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.03748955722639933,0.03491623796332941
109,Tamim Iqbal,,0.14285714285714285,1.0,1.0,0.0,0.0,7.0,0.03748955722639933,0.03599679022116699
110,Tamim Iqbal,,0.3333333333333333,2.0,2.0,0.0,0.0,6.0,0.03748955722639933,0.03628589016400654
111,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.03748955722639933,0.03565162907268173
112,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.03748955722639933,0.03501736798135693
113,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.03748955722639933,0.03438310689003212
114,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.031641604010025054,0.033748845798707315
115,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025062656641604,0.03311458470738251
116,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025062656641604,0.03275733192630701
117,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025062656641604,0.03240007914523152
118,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.038220551378446106,0.03204282636415602
119,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.030701754385964907,0.03168557358308052
120,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.030701754385964907,0.031328320802005025
121,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.030701754385964907,0.030971068020929526
1,AI Kallicharran,,0.09174311926605505,10.0,10.0,0.0,0.0,109.0,0.024327447492791258,0.023079513381276312
2,AI Kallicharran,,0.0,0.0,0.0,0.0,0.0,0.0,0.021850667307032744,0.022825377316827405
3,AI Kallicharran,,0.0,0.0,0.0,0.0,0.0,0.0,0.022030093144353318,0.02274716386876667
4,AI Kallicharran,,0.0,0.0,0.0,0.0,0.0,0.0,0.022258396696756593,0.022924232588974903
5,AI Kallicharran,,0.06060606060606061,6.0,6.0,0.0,0.0,99.0,0.02256849585096115,0.023196821416165657
6,AI Kallicharran,,0.0,0.0,0.0,0.0,0.0,0.0,0.024051075539619417,0.023173788726489557
7,AI Kallicharran,,0.021505376344086023,2.0,2.0,0.0,0.0,93.0,0.021624059382626144,0.023228786546742843
